data,open,high,low,close,volume,adjusted,quart,quint,seg,sext,terc
2018-01-15,43.5,43.720001,43.27,43.470001,7253400,40.699089,0,0,1,0,0
2018-01-16,42.98,43.139999,42.299999,42.299999,20121900,39.603668,0,0,0,0,1
2018-01-17,42.400002,43.220001,42.360001,43.150002,16490700,40.399487,1,0,0,0,0
2018-01-18,43.5,43.610001,42.68,42.860001,10772100,40.127972,0,1,0,0,0
2018-01-19,43.200001,43.400002,42.599998,42.880001,11173100,40.146698,0,0,0,1,0
2018-01-22,43.099998,43.16,42.220001,42.650002,11580900,39.931362,0,0,1,0,0
2018-01-23,41.990002,42.110001,40.810001,40.93,22075600,38.320992,0,0,0,0,1
2018-01-24,41.209999,42.130001,41.139999,41.779999,22096600,39.11681,1,0,0,0,0
2018-01-25,41.779999,41.779999,41.779999,41.779999,0,39.11681,0,1,0,0,0
2018-01-26,41.849998,41.880001,40.709999,41.43,19259500,38.789124,0,0,0,1,0
2018-01-29,41.099998,42.240002,41.040001,41.889999,16752900,39.219803,0,0,1,0,0
2018-01-30,41.700001,41.959999,41.23,41.470001,13180300,38.826576,0,0,0,0,1
2018-01-31,41.75,42.68,41.450001,41.450001,22859700,38.80785,1,0,0,0,0
2018-02-01,41.599998,42.470001,41.57,41.790001,21949700,39.126175,0,1,0,0,0
2018-02-02,41.650002,41.650002,40.75,40.799999,17892300,38.199284,0,0,0,1,0
2018-02-05,40.599998,42.040001,40.330002,40.349998,22452800,37.777966,0,0,1,0,0
2018-02-06,40.009998,42.470001,39.93,42.470001,26037000,39.762829,0,0,0,0,1
2018-02-07,42.43,42.720001,41.700001,41.709999,20560700,39.051277,1,0,0,0,0
2018-02-08,41.689999,42.130001,41.07,41.59,18928800,38.938923,0,1,0,0,0
2018-02-09,41.400002,42.400002,41.029999,42,22760500,39.322792,0,0,0,1,0
2018-02-15,45.009998,45.959999,44.950001,45.950001,31043100,43.021004,0,1,0,0,0
2018-02-16,45.82,46.189999,45.470001,46.029999,21107300,43.095905,0,0,0,1,0
2018-02-19,46.099998,46.799999,45.959999,46.450001,12756100,43.489132,0,0,1,0,0
2018-02-20,46.049999,46.450001,45.240002,45.509998,18417600,42.609047,0,0,0,0,1
2018-02-21,45.509998,45.959999,44.709999,44.799999,24312600,41.944309,1,0,0,0,0
2018-02-22,45.23,45.68,45.119999,45.669998,14081800,42.758854,0,1,0,0,0
2018-02-23,46,46.41,45.650002,46.080002,17489800,43.142719,0,0,0,1,0
2018-02-26,46.740002,47.400002,46.689999,47.400002,20374600,44.378582,0,0,1,0,0
2018-02-27,47.470001,47.599998,46.709999,47.330002,15063400,44.313042,0,0,0,0,1
2018-02-28,46.990002,47.09,44.650002,45.049999,39459100,42.178371,1,0,0,0,0
2018-03-01,45.209999,45.630001,43.970001,44.450001,25776000,41.616619,0,1,0,0,0
2018-03-02,43.799999,43.880001,42.740002,43.75,25236200,40.961239,0,0,0,1,0
2018-03-05,43.48,43.939999,42.880001,43.700001,16100600,40.914429,0,0,1,0,0
2018-03-06,44.5,44.919998,43.419998,43.490002,22342000,40.717815,0,0,0,0,1
2018-03-07,42.509998,43.02,42.200001,42.849998,19334700,40.574371,1,0,0,0,0
2018-03-08,42.68,42.790001,41.25,41.459999,19983100,39.25819,0,1,0,0,0
2018-03-09,40.970001,42.27,40.509998,42.099998,21077800,39.864201,0,0,0,1,0
2018-03-12,42.290001,42.630001,41.939999,42.459999,11838200,40.205082,0,0,1,0,0
2018-03-13,42.740002,42.799999,42.049999,42.130001,13838900,39.892609,0,0,0,0,1
2018-03-14,42.849998,43.34,42.57,42.599998,17936000,40.337643,1,0,0,0,0
2018-03-15,42.700001,42.82,42.130001,42.400002,16039100,40.14827,0,1,0,0,0
2018-03-16,42.400002,42.599998,42.049999,42.299999,26802000,40.053581,0,0,0,1,0
2018-03-19,41.52,41.52,40.669998,41.099998,21861500,38.917305,0,0,1,0,0
