data,abev3_sa_close,petr3_sa_close,vale3_sa_close
2018-02-07,21.620001,20.98,41.709999
2018-02-08,21.66,20.35,41.59
2018-02-09,21.49,20.09,42
2018-02-14,NA,NA,NA
2018-02-15,22.299999,20.73,45.950001
2018-02-16,22.43,20.719999,46.029999
2018-02-19,22.34,21.299999,46.450001
2018-02-20,22.709999,21.68,45.509998
2018-02-21,22.4,21.440001,44.799999
2018-02-22,22.42,22.08,45.669998
2018-02-23,21.969999,22.65,46.080002
2018-02-26,22.15,23.18,47.400002
2018-02-27,22.219999,23.120001,47.330002
2018-02-28,22,23.15,45.049999
2018-03-01,22.34,22.77,44.450001
2018-03-02,22.58,23.18,43.75
2018-03-05,22.52,23.84,43.700001
2018-03-06,22.77,23.68,43.490002
2018-03-07,23.07,23.360001,42.849998
2018-03-08,23.299999,23.389999,41.459999
2018-03-09,23.440001,24,42.099998
2018-03-12,23.98,23.9,42.459999
2018-03-13,23.959999,23.67,42.130001
2018-03-14,24.27,23.610001,42.599998
2018-03-15,23.879999,23.120001,42.400002
2018-03-16,23.610001,23.370001,42.299999
2018-03-19,23.790001,22.59,41.099998
2018-03-20,23.690001,22.889999,41.599998
2018-03-21,23.889999,23.76,42.5
2018-03-22,24.01,23.629999,41.93
2018-03-23,23.92,23.709999,41.599998
2018-03-26,24,23.91,42
2018-03-27,23.84,23.32,40.860001
2018-03-28,23.82,23.030001,41.540001
2018-03-29,24.07,23.360001,42.209999
2018-04-02,23.85,22.74,43
2018-04-03,24.200001,22.799999,42.869999
2018-04-04,24.190001,22.719999,42.549999
2018-04-05,24.030001,23.34,43.25
2018-04-06,23.25,23.58,42.740002
2018-04-09,23.290001,22.9,42.950001
2018-04-10,23.799999,23.799999,44.84
2018-04-11,23.85,24.35,44.639999
2018-04-12,23.290001,24.389999,44.810001
2018-04-13,23.26,23.73,44.98
2018-04-16,22.98,22.889999,44.540001
2018-04-17,23.110001,23.309999,45.93
2018-04-18,23.35,24.07,47.48
2018-04-19,23.5,24.370001,47.830002
